央视频道,#genre#
其他频道,#genre#
少儿动漫,http://zgxsd.f3322.net:9901/tsfile/live/1046_1.m3u8?key=txiptv
金鹰卡通,http://223.75.149.129:9906/tsfile/live/1002_1.m3u8?key=txiptv
金鹰卡通,http://113.241.133.223:9901/tsfile/live/1005_1.m3u8?key=txiptv
家庭影院,http://zgxsd.f3322.net:9901/tsfile/live/1039_1.m3u8?key=txiptv
动作电影,http://zgxsd.f3322.net:9901/tsfile/live/1037_1.m3u8?key=txiptv
影迷电影,http://zgxsd.f3322.net:9901/tsfile/live/1036_1.m3u8?key=txiptv
凤凰中文,http://61.178.227.57:9901/tsfile/live/1013_1.m3u8?key=txiptv
凤凰资讯,http://61.178.227.57:9901/tsfile/live/1014_1.m3u8?key=txiptv
凤凰香港,http://61.178.227.57:9901/tsfile/live/1012_1.m3u8?key=txiptv
翡翠台,http://zgxsd.f3322.net:9901/tsfile/live/1034_1.m3u8?key=txiptv
明珠台,http://zgxsd.f3322.net:9901/tsfile/live/1035_1.m3u8?key=txiptv
每日影院,http://zgxsd.f3322.net:9901/tsfile/live/1038_1.m3u8?key=txiptv
湖北经视,http://223.75.149.129:9906/tsfile/live/1000_1.m3u8?key=txiptv
湖北综合,http://223.75.149.129:9906/tsfile/live/1001_1.m3u8?key=txiptv
湖南经视,http://113.241.133.223:9901/tsfile/live/1001_1.m3u8?key=txiptv
湖南都市,http://113.241.133.223:9901/tsfile/live/1002_1.m3u8?key=txiptv
湖南电影,http://113.241.133.223:9901/tsfile/live/1004_1.m3u8?key=txiptv
湖南娱乐,http://113.241.133.223:9901/tsfile/live/1003_1.m3u8?key=txiptv
湖南国际,http://113.241.133.223:9901/tsfile/live/1000_1.m3u8?key=txiptv
广东经济,http://zgxsd.f3322.net:9901/tsfile/live/1029_1.m3u8?key=txiptv
广东体育,http://zgxsd.f3322.net:9901/tsfile/live/1027_1.m3u8?key=txiptv
广东珠江,http://zgxsd.f3322.net:9901/tsfile/live/1025_1.m3u8?key=txiptv
深圳都市,http://120.233.73.4:19901/tsfile/live/1037_1.m3u8?key=txiptv
深圳少儿,http://120.233.73.4:19901/tsfile/live/1035_1.m3u8?key=txiptv
深圳电视剧,http://120.233.73.4:19901/tsfile/live/1036_1.m3u8?key=txiptv
